"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","economic","economic__special_variable","mf17p5t20","MdEMFTWrk","499","165","20.1","0.011","0.004","false","37001","0","","0","0","false","-36502","165","true","1.0999999999999999","0.4","false"
"","economic","economic__special_variable","mf20t22p5","MdEMFTWrk","552","135","14.8","0.013","0.003","true","63320","0","","0","0","false","-62768","135","true","1.3","0.3","true"
"","economic","economic__special_variable","mf22p5t25","MdEMFTWrk","454","146","19.6","0.01","0.003","true","38980","0","","0","0","false","-38526","146","true","1","0.3","true"
"","economic","economic__special_variable","mft100pl","MdEMFTWrk","939","153","9.9","0.021","0.003","true","363256","0","","0","0","false","-362317","153","true","2.1","0.3","true"
"","economic","economic__special_variable","mft25t30","MdEMFTWrk","842","164","11.8","0.019","0.004","true","103385","0","","0","0","false","-102543","164","true","1.9","0.4","true"
"","economic","economic__special_variable","mft2p5t5","MdEMFTWrk","6","12","121.6","0","0","false","1891","0","","0","0","false","-1885","12","true","0","0",""
"","economic","economic__special_variable","mft30t35","MdEMFTWrk","892","181","12.3","0.02","0.004","true","106658","0","","0","0","false","-105766","181","true","2","0.4","true"
"","economic","economic__special_variable","mft35t40","MdEMFTWrk","884","190","13.1","0.02","0.004","true","88552","0","","0","0","false","-87668","190","true","2","0.4","true"
"","economic","economic__special_variable","mft40t45","MdEMFTWrk","1017","202","12.1","0.023","0.004","true","99614","0","","0","0","false","-98597","202","true","2.3","0.4","true"
"","economic","economic__special_variable","mft45t50","MdEMFTWrk","523","135","15.7","0.012","0.003","true","67213","0","","0","0","false","-66690","135","true","1.2","0.3","true"
"","economic","economic__special_variable","mft50t55","MdEMFTWrk","879","182","12.6","0.02","0.004","true","98002","0","","0","0","false","-97123","182","true","2","0.4","true"
"","economic","economic__special_variable","mft55t65","MdEMFTWrk","1152","188","9.9","0.026","0.004","true","133527","0","","0","0","false","-132375","188","true","2.6","0.4","true"
