"numGeoids","profile","category","variable","estimate","percent","comparison_estimate","comparison_percent","difference_estimate","difference_percent"
"","decennial","relationship_to_head_of_household__householder_","popinfhh","51419","0.907276705367541","6377302","0.78008541267769","-6325883","12.7191292689851"
"","decennial","relationship_to_head_of_household__householder_","popinhh","56612","0.998906023926315","7989603","0.977305567995041","-7932991","2.160045593127407"
"","decennial","relationship_to_head_of_household__householder_","popu18_2","13873","1","1768111","1","-1754238","0"
"","decennial","relationship_to_head_of_household__householder_","spouse","8183","0.144387196950983","1097870","0.13429383962316","-1089687","1.0093357327823025"
"","decennial","sex_and_age","fem","28653","0.505575749020715","4292589","0.525078796883182","-4263936","-1.9503047862467042"
"","decennial","sex_and_age","male","28021","0.494424250979285","3882544","0.474921203116818","-3854523","1.9503047862466971"
"","decennial","sex_and_age","mdage","34.5","","35.5","","-1","0"
"","decennial","sex_and_age","pop10t14","3983","0.0702791403465434","468154","0.0572656126817753","-464171","1.3013527664768096"
"","decennial","sex_and_age","pop15t19","4395","0.0775487878039313","535833","0.0655442547540205","-531438","1.2004533049910808"
"","decennial","sex_and_age","pop2","56674","1","8175133","1","-8118459","0"
"","decennial","sex_and_age","pop20t24","4584","0.080883650351131","642585","0.0786023909335787","-638001","0.2281259417552297"
"","decennial","sex_and_age","pop21pl","40036","0.706426227194128","6059847","0.741253628534239","-6019811","-3.4827401340111095"
"","decennial","sex_and_age","pop25t29","4392","0.0774958534777852","730190","0.0893184245442857","-725798","-1.1822571066500487"
"","decennial","sex_and_age","pop30t34","4138","0.0730140805307548","662255","0.0810084679967898","-658117","-0.7994387466035002"
"","decennial","sex_and_age","pop35t39","4170","0.0735787133429791","587407","0.0718528982953549","-583237","0.1725815047624195"
"","decennial","sex_and_age","pop40t44","4367","0.077054734093235","567280","0.0693909200009345","-562913","0.7663814092300507"
"","decennial","sex_and_age","pop45t49","4388","0.0774252743762572","565692","0.0691966723966448","-561304","0.8228601979612398"
"","decennial","sex_and_age","pop50t54","3962","0.0699086000635212","541684","0.0662599617645364","-537722","0.3648638298984803"
"","decennial","sex_and_age","pop55t59","3270","0.0576984154991707","475535","0.058168472610782","-472265","0"
"","decennial","sex_and_age","pop5t9","3642","0.0642622719412782","473159","0.0578778351373611","-469517","0.6384436803917106"
"","decennial","sex_and_age","pop60t64","2621","0.0462469562762466","414477","0.0506997256191428","-411856","-0.44527693428962056"
"","decennial","sex_and_age","pop62pl","6568","0.115890884709038","1228851","0.150315719634164","-1222283","-3.4424834925126007"
"","decennial","sex_and_age","pop65pl_1","5121","0.0903588947312701","993158","0.121485240668256","-988037","-3.1126345936985906"
"","decennial","sex_and_age","pop65plf","2991","0.0527755231675901","598318","0.0731875554807487","-595327","-2.04120323131586"
"","decennial","sex_and_age","pop65plm","2130","0.03758337156368","394840","0.048297685187507","-392710","-1.0714313623827003"
"","decennial","sex_and_age","pop65t69","1796","0.0316900165860889","297167","0.0363501119798296","-295371","-0.4660095393740695"
"","decennial","sex_and_age","pop70t74","1199","0.0211560856830293","234294","0.0286593502515494","-233095","-0.7503264568520098"
"","decennial","sex_and_age","pop75t79","789","0.0139217277764054","178019","0.0217756701939895","-177230","-0.7853942417584099"
"","decennial","sex_and_age","pop80t84","651","0.0114867487736881","142272","0.0174030196205982","-141621","-0.5916270846910099"
"","decennial","sex_and_age","pop85pl","686","0.0121043159120584","141406","0.0172970886222891","-140720","-0.51927727102307"
"","decennial","sex_and_age","popu18_1","13873","0.244785968874616","1768111","0.21627917246117","-1754238","2.850679641344602"
"","decennial","sex_and_age","popu5","3641","0.0642446271658962","517724","0.0633291225965376","-514083","0.09155045693585961"
"","decennial","tenure_by_age_of_householder","hhr15t24","502","0.0295242016114803","119317","0.038368259660478","-118815","-0.88440580489977"
"","decennial","tenure_by_age_of_householder","hhr25t34","2601","0.152973004763865","583537","0.187645508498339","-580936","-3.467250373447399"
"","decennial","tenure_by_age_of_householder","hhr35t44","3952","0.232429571252132","609384","0.195957018236636","-605432","3.6472553015496025"
"","decennial","tenure_by_age_of_householder","hhr45t54","4310","0.253484679174263","630949","0.20289158346689","-626639","5.059309570737298"
"","decennial","tenure_by_age_of_householder","hhr55t64","3035","0.178497912133153","531036","0.170762985467801","-528001","0.7734926665351978"
"","decennial","tenure_by_age_of_householder","hhr65t74","1454","0.0855143210021761","332966","0.107070458912902","-331512","-2.1556137910725894"
