"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","hispanic_subgroup","hsphnd","Hsp2","420","207","30","0.013","0.006","false","50108","3416","4.1","0.02","0.001","true","-49688","3422.2660621290097","true","-0.7","0.6082762530298219","false"
"","demographic","hispanic_subgroup","hspme","Hsp2","3482","738","12.9","0.104","0.021","true","339425","7811","1.4","0.138","0.003","true","-335943","7845.786448788929","true","-3.4000000000000004","2.1213203435596424","false"
"","demographic","hispanic_subgroup","hspnic","Hsp2","231","173","45.5","0.007","0.005","false","12560","1653","8","0.005","0.001","true","-12329","1662.0282789411256","true","0.20000000000000007","0.5099019513592785","false"
"","demographic","hispanic_subgroup","hspocam","Hsp2","0","0","","0","0","false","1606","513","19.4","0.001","0","true","-1606","513","true","-0.1","0","true"
"","demographic","hispanic_subgroup","hsposam","Hsp2","85","92","65.8","0.003","0.003","false","2811","708","15.3","0.001","0","true","-2726","713.9523793643383","true","0.19999999999999998","0.3","false"
"","demographic","hispanic_subgroup","hspoth","Hsp2","979","274","17","0.029","0.008","true","108479","3640","2","0.044","0.001","true","-107500","3650.298070021132","true","-1.4999999999999991","0.806225774829855","false"
"","demographic","hispanic_subgroup","hsppan","Hsp2","113","106","56.9","0.003","0.003","false","22824","1473","3.9","0.009","0.001","true","-22711","1476.809060102219","true","-0.5999999999999999","0.31622776601683794","false"
"","demographic","hispanic_subgroup","hspperu","Hsp2","1132","319","17.2","0.034","0.009","true","40211","2081","3.1","0.016","0.001","true","-39079","2105.3080534686605","true","1.8000000000000003","0.9055385138137416","false"
"","demographic","hispanic_subgroup","hsppr","Hsp2","6945","874","7.7","0.208","0.024","true","696879","8571","0.7","0.284","0.003","true","-689934","8615.446419077773","true","-7.599999999999998","2.4186773244895647","true"
"","demographic","hispanic_subgroup","hspprg","Hsp2","106","94","53.9","0.003","0.003","false","3666","808","13.4","0.001","0","true","-3560","813.4494452638098","true","0.19999999999999998","0.3","false"
"","demographic","hispanic_subgroup","hspsalv","Hsp2","961","357","22.6","0.029","0.011","false","46973","2844","3.7","0.019","0.001","true","-46012","2866.319068073197","true","1.0000000000000004","1.104536101718726","false"
"","demographic","hispanic_subgroup","hspsam","Hsp2","10600","1133","6.5","0.317","0.03","true","392206","7423","1.2","0.16","0.003","true","-381606","7508.96917026565","true","15.7","3.014962686336267","true"
"","demographic","hispanic_subgroup","hspspam","Hsp2","29","30","62.9","0.001","0.001","false","601","224","22.7","0","0","false","-572","226","false","0.1","0.1","false"
"","demographic","hispanic_subgroup","hspspnrd","Hsp2","213","103","29.5","0.006","0.003","false","24966","1807","4.4","0.01","0.001","true","-24753","1809.9331479366856","true","-0.4","0.31622776601683794","false"
"","demographic","hispanic_subgroup","hspspnsh","Hsp2","45","37","50","0.001","0.001","false","9505","1192","7.6","0.004","0","true","-9460","1192.5741067120316","true","-0.30000000000000004","0.1","false"
"","demographic","hispanic_subgroup","hspurg","Hsp2","13","14","67.4","0","0","false","3021","707","14.2","0.001","0","true","-3008","707.1386002757876","true","-0.1","0","true"
"","demographic","hispanic_subgroup","hspvnz","Hsp2","342","232","41.3","0.01","0.007","false","13555","1267","5.7","0.006","0.001","true","-13213","1288.0656039193034","true","0.4","0.7071067811865476","false"
"","demographic","mutually_exclusive_race_hispanic_origin","aiannh","Pop_2","69","76","66.7","0.001","0.001","false","15017","875","3.5","0.002","0.001","true","-14948","878.2943697872598","true","-0.1","0.14142135623730953","false"
"","demographic","mutually_exclusive_race_hispanic_origin","asnnh","Pop_2","14324","1114","4.7","0.236","0.017","true","1167421","3568","0.2","0.138","0.001","true","-1153097","3737.8630258477906","true","9.799999999999997","1.7029386365926402","true"
"","demographic","mutually_exclusive_race_hispanic_origin","blnh","Pop_2","1897","404","12.9","0.031","0.007","true","1853055","3317","0.1","0.219","0.001","true","-1851158","3341.5123821407574","true","-18.799999999999997","0.7071067811865476","true"
"","demographic","mutually_exclusive_race_hispanic_origin","hsp1","Pop_2","33466","1701","3.1","0.552","0.023","true","2457137","0","0","0.291","0","true","-2423671","1701","true","26.100000000000005","2.3","true"
"","demographic","mutually_exclusive_race_hispanic_origin","nhpinh","Pop_2","5","30","364.7","0","0","false","2794","488","10.6","0","0.001","true","-2789","488.9212615544552","true","0","0.1",""
"","demographic","mutually_exclusive_race_hispanic_origin","nhsp","Pop_2","27106","1272","2.9","0.448","0.017","true","5986576","0","0","0.709","0","true","-5959470","1272","true","-26.099999999999987","1.7000000000000002","true"
"","demographic","mutually_exclusive_race_hispanic_origin","othnh","Pop_2","381","155","24.8","0.006","0.003","false","71758","3677","3.1","0.008","0.001","true","-71377","3680.2654795544304","true","-0.20000000000000007","0.31622776601683794","false"
"","demographic","mutually_exclusive_race_hispanic_origin","pop_2","Pop_2","60572","1694","1.7","1","0","true","8443713","0","0","1","0","true","-8383141","1694","true","0","0",""
"","demographic","mutually_exclusive_race_hispanic_origin","rc2plnh","Pop_2","1064","286","16.4","0.018","0.005","true","162601","4044","1.5","0.019","0.001","true","-161537","4054.100640092695","true","-0.10000000000000009","0.5099019513592785","false"
"","demographic","mutually_exclusive_race_hispanic_origin","wtnh","Pop_2","9366","734","4.8","0.155","0.011","true","2713930","1659","0","0.321","0.001","true","-2704564","1814.121550503163","true","-16.6","1.104536101718726","true"
"","demographic","poppyramid_only","fpop0t5","Pop","1924","301","9.5","0.032","0.005","true","269674","178","0","0.032","0","true","-267750","349.6927222576987","true","0","0.5",""
"","demographic","poppyramid_only","fpop10t14","Pop","1655","230","8.4","0.027","0.004","true","227093","2312","0.6","0.027","0","true","-225438","2323.412145961194","true","0","0.4",""
"","demographic","poppyramid_only","fpop15t19","Pop","1865","250","8.2","0.031","0.004","true","226700","355","0.1","0.027","0","true","-224835","434.1946568072896","true","0.3999999999999999","0.4","false"
"","demographic","poppyramid_only","fpop20t24","Pop","2407","293","7.4","0.04","0.005","true","293909","3345","0.7","0.035","0","true","-291502","3357.807915887983","true","0.49999999999999956","0.5","false"
"","demographic","poppyramid_only","fpop25t29","Pop","2078","278","8.1","0.034","0.004","true","405287","203","0","0.048","0","true","-403209","344.22812203537353","true","-1.3999999999999995","0.4","true"
"","demographic","poppyramid_only","fpop30t34","Pop","2015","269","8.1","0.033","0.004","true","366861","247","0","0.043","0","true","-364846","365.1985761198967","true","-0.9999999999999996","0.4","false"
"","demographic","poppyramid_only","fpop35t39","Pop","2298","245","6.5","0.038","0.004","true","315142","3125","0.6","0.037","0","true","-312844","3134.58928729108","true","0.10000000000000009","0.4","false"
"","demographic","poppyramid_only","fpop40t44","Pop","2047","226","6.7","0.034","0.004","true","280418","3132","0.7","0.033","0","true","-278371","3140.1433088316207","true","0.10000000000000009","0.4","false"
"","demographic","poppyramid_only","fpop45t49","Pop","2104","248","7.2","0.035","0.004","true","281658","193","0","0.033","0","true","-279554","314.2499005568657","true","0.20000000000000018","0.4","false"
"","demographic","poppyramid_only","fpop50t54","Pop","2287","260","6.9","0.038","0.004","true","285202","202","0","0.034","0","true","-282915","329.24762717444145","true","0.39999999999999947","0.4","false"
"","demographic","poppyramid_only","fpop55t59","Pop","2582","288","6.8","0.043","0.005","true","272993","2843","0.6","0.032","0","true","-270411","2857.550174537623","true","1.0999999999999996","0.5","false"
"","demographic","poppyramid_only","fpop5t9","Pop","1614","230","8.7","0.027","0.004","true","234049","2327","0.6","0.028","0","true","-232435","2338.33894035916","true","-0.10000000000000009","0.4","false"
"","demographic","poppyramid_only","fpop60t64","Pop","1659","206","7.6","0.027","0.003","true","256568","2933","0.7","0.03","0","true","-254909","2940.225331500972","true","-0.2999999999999998","0.3","false"
"","demographic","poppyramid_only","fpop65t69","Pop","1418","207","8.9","0.023","0.003","true","214644","2853","0.8","0.025","0","true","-213226","2860.499606712086","true","-0.20000000000000018","0.3","false"
"","demographic","poppyramid_only","fpop70t74","Pop","1031","173","10.2","0.017","0.003","true","161099","2686","1","0.019","0","true","-160068","2691.565529575678","true","-0.19999999999999973","0.3","false"
"","demographic","poppyramid_only","fpop75t79","Pop","641","136","12.9","0.011","0.002","true","124380","1845","0.9","0.015","0","true","-123739","1850.0056756669694","true","-0.40000000000000013","0.2","false"
"","demographic","poppyramid_only","fpop80t84","Pop","292","78","16.3","0.005","0.001","true","91235","1728","1.2","0.011","0","true","-90943","1729.7595208583186","true","-0.5999999999999999","0.1","true"
"","demographic","poppyramid_only","fpop85pl","Pop","507","100","12","0.008","0.002","true","111704","1844","1","0.013","0","true","-111197","1846.7095061216314","true","-0.5","0.2","false"
"","demographic","poppyramid_only","mpop0t5","Pop","2016","324","9.8","0.033","0.005","true","282195","189","0","0.033","0","true","-280179","375.0959877151447","true","0","0.5",""
"","demographic","poppyramid_only","mpop10t14","Pop","2169","282","7.9","0.036","0.005","true","237611","2370","0.6","0.028","0","true","-235442","2386.7182489770344","true","0.7999999999999994","0.5","false"
"","demographic","poppyramid_only","mpop15t19","Pop","2032","240","7.2","0.034","0.004","true","228974","203","0.1","0.027","0","true","-226942","314.33898899118446","true","0.7000000000000002","0.4","false"
"","demographic","poppyramid_only","mpop20t24","Pop","2270","268","7.2","0.037","0.004","true","277492","3174","0.7","0.033","0","true","-275222","3185.2943349084712","true","0.39999999999999947","0.4","false"
"","demographic","poppyramid_only","mpop25t29","Pop","2502","303","7.4","0.041","0.005","true","380518","179","0","0.045","0","true","-378016","351.9232870953555","true","-0.39999999999999947","0.5","false"
"","demographic","poppyramid_only","mpop30t34","Pop","2208","304","8.4","0.036","0.005","true","351613","226","0","0.042","0","true","-349405","378.80337907679757","true","-0.6000000000000005","0.5","false"
"","demographic","poppyramid_only","mpop35t39","Pop","2196","278","7.7","0.036","0.004","true","295382","3094","0.6","0.035","0","true","-293186","3106.4642280251674","true","0.0999999999999992","0.4","false"
"","demographic","poppyramid_only","mpop40t44","Pop","1999","244","7.4","0.033","0.004","true","265474","3036","0.7","0.031","0","true","-263475","3045.789224486816","true","0.20000000000000018","0.4","false"
"","demographic","poppyramid_only","mpop45t49","Pop","2163","301","8.5","0.036","0.005","true","260855","252","0.1","0.031","0","true","-258692","392.56209699867867","true","0.49999999999999956","0.5","false"
"","demographic","poppyramid_only","mpop50t54","Pop","2003","242","7.4","0.033","0.004","true","259245","174","0","0.031","0","true","-257242","298.0603965641863","true","0.20000000000000018","0.4","false"
"","demographic","poppyramid_only","mpop55t59","Pop","2029","249","7.5","0.033","0.004","true","242832","2266","0.6","0.029","0","true","-240803","2279.6396645084064","true","0.3999999999999999","0.4","false"
"","demographic","poppyramid_only","mpop5t9","Pop","1826","250","8.3","0.03","0.004","true","242518","2329","0.6","0.029","0","true","-240692","2342.3793458788864","true","0.09999999999999964","0.4","false"
"","demographic","poppyramid_only","mpop60t64","Pop","1498","206","8.4","0.025","0.003","true","214089","2789","0.8","0.025","0","true","-212591","2796.597396837807","true","0","0.3",""
"","demographic","poppyramid_only","mpop65t69","Pop","1208","189","9.5","0.02","0.003","true","169978","2612","0.9","0.02","0","true","-168770","2618.8289367578022","true","0","0.3",""
"","demographic","poppyramid_only","mpop70t74","Pop","779","152","11.9","0.013","0.002","true","119097","2119","1.1","0.014","0","true","-118318","2124.44463331008","true","-0.10000000000000009","0.2","false"
"","demographic","poppyramid_only","mpop75t79","Pop","643","138","13","0.011","0.002","true","86722","1618","1.1","0.01","0","true","-86079","1623.8743793779124","true","0.09999999999999987","0.2","false"
"","demographic","poppyramid_only","mpop80t84","Pop","327","96","17.9","0.005","0.002","true","57753","1509","1.6","0.007","0","true","-57426","1512.050594391603","true","-0.20000000000000007","0.2","false"
"","demographic","poppyramid_only","mpop85pl","Pop","280","79","17.2","0.005","0.001","true","52749","1354","1.6","0.006","0","true","-52469","1356.3026948288498","true","-0.09999999999999998","0.1","false"
"","demographic","poppyramid_only","pop","Pop","60572","1694","1.7","1","0","true","8443713","0","0","1","0","true","-8383141","1694","true","0","0",""
"","demographic","sex_and_age","fem","Pop_1","30424","978","2","0.502","0.008","true","4418616","268","0","0.523","0","true","-4388192","1014.0552253205936","true","-2.1000000000000014","0.8","false"
"","demographic","sex_and_age","male","Pop_1","30148","1037","2.1","0.498","0.01","true","4025097","268","0","0.477","0","true","-3994949","1071.0709593673055","true","2.1000000000000014","1","false"
