id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RlBvcDYwdDY0,2439,338.797874845755,8.44428679464665,0.0388858773636045,0.00529444723235503,fpop60t64,FPop60t64,Pop,poppyramid_only,demographic,True,1640,248.265986393626,9.20253489486344,0.0254606989272352,0.00378015293283729,True,256568,2933,0.7,0.03,0,True,799,420.0238088489746,False,0.4871951219512195,0.3055525354661959,False,0.013425178436369301,0.006505438316657087,False,-254129,2952.5028365778076,True,0.8885877363604502,0.529444723235503,False
RlBvcDY1dDY5,1987,293.122841143436,8.96779954639613,0.0316794745065527,0.00459127634997627,fpop65t69,FPop65t69,Pop,poppyramid_only,demographic,True,1369,209.27493877672,9.29282744828365,0.0212534736776738,0.00318768663704704,True,214644,2853,0.8,0.025,0,True,618,360.1624633411982,False,0.4514243973703433,0.3083399474389473,False,0.0104260008288789,0.005589379627280624,False,-212657,2868.018479717312,True,0.6679474506552703,0.45912763499762704,False
RlBvcDcwdDc0,1191,196.618920757897,10.0356993947972,0.0189885526609483,0.00309087874372494,fpop70t74,FPop70t74,Pop,poppyramid_only,demographic,True,1275,225.266508828987,10.7404021135461,0.0197941409342835,0.00344796907000706,True,161099,2686,1,0.019,0,True,-84,299.005016680323,False,-0.06588235294117648,0.22587398933638464,False,-0.0008055882733352011,0.004630553111253127,False,-159908,2693.1867740652524,True,0,0.309087874372494
RlBvcDc1dDc5,1237,207.033813663372,10.174326732406,0.0197219476419757,0.00325586182360343,fpop75t79,FPop75t79,Pop,poppyramid_only,demographic,True,1157,203.632021057593,10.6990892522898,0.017962212596836,0.00311648079669333,True,124380,1845,0.9,0.015,0,True,80,290.3945591776813,False,0.06914433880726016,0.25966772549099837,False,0.0017597350451396994,0.004507004412085321,False,-123143,1856.5796508633828,True,0.4721947641975699,0.325586182360343,False
RlBvcDgwdDg0,1086,231.350383617577,12.9501409829203,0.0173144988999075,0.00365757859882449,fpop80t84,FPop80t84,Pop,poppyramid_only,demographic,True,1041,196.382280259702,11.467946722943,0.0161613338922267,0.00301117009730788,True,91235,1728,1.2,0.011,0,True,45,303.4616944525292,False,0.043227665706051875,0.29685220117890965,False,0.0011531650076808016,0.0047376182372052805,False,-90149,1743.4181942379746,True,0.6314498899907501,0.36575785988244897,False
RlBvcDg1cGw=,1170,208.093728881963,10.8120296615989,0.0186537419087402,0.00327773476603185,fpop85pl,FPop85pl,Pop,poppyramid_only,demographic,True,965,202.183085345931,12.7365441104891,0.0149814478443792,0.00310748505077565,True,111704,1844,1,0.013,0,True,205,290.1396215617576,False,0.21243523316062177,0.3332111857409956,False,0.0036722940643609987,0.004516636861343627,False,-110534,1855.7044484507762,True,0.56537419087402,0.327773476603185,False
SHNwMQ==,10293,1198.92827141577,7.08084888697791,0.164105098689455,0.0185734595893484,hsp1,Hsp1,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,9375,1063.093128564,6.89341035745655,0.145545153928555,0.0159342005207047,True,2457137,0,0,0.291,0,True,918,1602.371991767205,False,0.09792,0.17847996024861376,False,0.018559944760900005,0.024471864402844015,False,-2446844,1198.92827141577,True,-12.689490131054498,1.85734595893484,True
SHNwMg==,10293,1198.92827141577,7.08084888697791,1,0,hsp2,Hsp2,Hsp2,hispanic_subgroup,demographic,True,9375,1063.093128564,6.89341035745655,1,0,True,2457137,0,0,1,0,True,918,1602.371991767205,False,0.09792,0.17847996024861376,False,0,0,-2446844,1198.92827141577,True,0,0
SHNwQWxsT3Ro,429,309.262024826845,43.8231307454028,0.04167881084232,0.0296510551183911,hspalloth,HspAllOth,Hsp2,hispanic_subgroup,demographic,False,136,110.909873320638,49.5753054356509,0.0145066666666667,0.0117154597629726,False,73407,3230,2.7,0.03,0.001,True,293,328.54832216890117,False,2.1544117647058822,3.4334519839593685,False,0.0271721441756533,0.03188161017093862,False,-72978,3244.771640655163,True,1.1678810842320004,2.966791313243766,False
SHNwQXJn,208,150.605444788693,44.0160874411658,0.0202079082871855,0.0144412620716752,hsparg,HspArg,Hsp2,hispanic_subgroup,demographic,False,142,98.5900603509299,42.2064559060447,0.0151466666666667,0.0103750622745919,False,18356,2145,7.1,0.007,0.001,True,66,180.0055554698245,False,0.4647887323943662,1.4694078479352668,False,0.005061241620518801,0.017781787520507176,False,-18148,2150.280679353279,True,1.32079082871855,1.4475843679136793,False
