id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
SHNwTmlj,0,0,,0,0,hspnic,HspNic,Hsp2,hispanic_subgroup,demographic,False,78,118,92,0.002,0.003,False,12560,1653,8,0.005,0.001,True,-78,118,False,-1,0,True,-0.002,0.003,False,-12560,1653,True,-0.5,0.1,True
SHNwT0NBbQ==,0,0,,0,0,hspocam,HspOCAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,1606,513,19.4,0.001,0,True,0,0,0,,,,-1606,513,True,-0.1,0,True
SHNwT1NBbQ==,0,0,,0,0,hsposam,HspOSAm,Hsp2,hispanic_subgroup,demographic,False,162,248,93.1,0.004,0.006,False,2811,708,15.3,0.001,0,True,-162,248,False,-1,0,True,-0.004,0.006,False,-2811,708,True,-0.1,0,True
SHNwT3Ro,921,326,21.5,0.019,0.007,hspoth,HspOth,Hsp2,hispanic_subgroup,demographic,False,915,436,29,0.023,0.011,False,108479,3640,2,0.044,0.001,True,6,544.4005878027687,False,0.006557377049180328,0.5974786885454006,False,-0.004,0.013038404810405297,False,-107558,3654.569194857309,True,-2.4999999999999996,0.7071067811865476,True
SHNwUGFu,68,68,60.6,0.001,0.001,hsppan,HspPan,Hsp2,hispanic_subgroup,demographic,False,12,19,96.3,0,0,False,22824,1473,3.9,0.009,0.001,True,56,70.60453243241541,False,4.666666666666667,10.611874608948666,False,0.001,0.001,False,-22756,1474.5687505165706,True,-0.7999999999999999,0.14142135623730953,True
SHNwUGVydQ==,853,417,29.7,0.018,0.009,hspperu,HspPeru,Hsp2,hispanic_subgroup,demographic,False,970,417,26.2,0.024,0.01,False,40211,2081,3.1,0.016,0.001,True,-117,589.7270555095806,False,-0.12061855670103093,0.5724754448397019,False,-0.006000000000000002,0.01345362404707371,False,-39358,2122.3689594413127,True,0.19999999999999973,0.9055385138137416,False
SHNwUFI=,890,293,20,0.019,0.006,hsppr,HspPR,Hsp2,hispanic_subgroup,demographic,False,1016,473,28.3,0.025,0.012,False,696879,8571,0.7,0.284,0.003,True,-126,556.3973400367762,False,-0.12401574803149606,0.49947959885941895,False,-0.006000000000000002,0.01341640786499874,False,-695989,8576.006646452648,True,-26.5,0.6708203932499369,True
SHNwUHJn,66,85,78.4,0.001,0.002,hspprg,HspPrg,Hsp2,hispanic_subgroup,demographic,False,101,128,77.1,0.002,0.003,False,3666,808,13.4,0.001,0,True,-35,153.6522046701576,False,-0.3465346534653465,1.1807214376171131,False,-0.001,0.0036055512754639895,False,-3600,812.4586143306009,True,0,0.2
SHNwU2Fsdg==,624,308,30,0.013,0.006,hspsalv,HspSalv,Hsp2,hispanic_subgroup,demographic,False,435,264,36.9,0.011,0.006,False,46973,2844,3.7,0.019,0.001,True,189,405.65995612088705,False,0.43448275862068964,1.1221600768761322,False,0.002,0.00848528137423857,False,-46349,2860.6293013950617,True,-0.5999999999999999,0.6082762530298219,False
SHNwU0Ft,20713,2005,5.9,0.435,0.037,hspsam,HspSAm,Hsp2,hispanic_subgroup,demographic,True,15458,1744,6.9,0.382,0.037,True,392206,7423,1.2,0.16,0.003,True,5255,2657.3597799319537,False,0.33995342217621943,0.19919314901778665,False,0.05299999999999999,0.05232590180780451,False,-371493,7689.0151515002235,True,27.5,3.712142238654117,True
SHNwU3BBbQ==,36,57,96.3,0.001,0.001,hspspam,HspSpAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,601,224,22.7,0,0,False,36,57,False,0,,0.001,0.001,False,-565,231.1384866265244,False,0.1,0.1,False
SHNwU3BucmQ=,39,60,93.5,0.001,0.001,hspspnrd,HspSpnrd,Hsp2,hispanic_subgroup,demographic,False,24,43,108.9,0.001,0.001,False,24966,1807,4.4,0.01,0.001,True,15,73.81734213584231,False,0.625,3.8375238926599677,False,0,0.001414213562373095,-24927,1807.9958517651528,True,-0.9,0.14142135623730953,True
SHNwU3Buc2g=,23,36,95.1,0,0.001,hspspnsh,HspSpnsh,Hsp2,hispanic_subgroup,demographic,False,45,54,73.4,0.001,0.001,False,9505,1192,7.6,0.004,0,True,-22,64.89992295835181,False,-0.4888888888888889,1.0080564358099091,False,-0.001,0.001414213562373095,False,-9482,1192.5435002548124,True,-0.4,0.1,True
SHNwVXJn,0,0,,0,0,hspurg,HspUrg,Hsp2,hispanic_subgroup,demographic,False,24,46,116.5,0.001,0.001,False,3021,707,14.2,0.001,0,True,-24,46,False,-1,0,True,-0.001,0.001,False,-3021,707,True,-0.1,0,True
SHNwVm56,158,120,46.2,0.003,0.003,hspvnz,HspVnz,Hsp2,hispanic_subgroup,demographic,False,79,94,72.5,0.002,0.002,False,13555,1267,5.7,0.006,0.001,True,79,152.43359209832983,False,1,2.823210503179878,False,0.001,0.0036055512754639895,False,-13397,1272.6700279333995,True,-0.3,0.31622776601683794,False
TWFsZQ==,28796,1381,2.9,0.532,0.014,male,Male,Pop_1,sex_and_age,demographic,True,26894,1653,3.7,0.564,0.022,True,4025097,268,0,0.477,0,True,1902,2153.9661092969873,False,0.07072209414739347,0.08347334098103168,False,-0.03199999999999992,0.026076809620810593,False,-3996301,1406.7640171684802,True,5.500000000000007,1.4000000000000001,True
TWRBZ2U=,31.2,0.7,1.3,,,mdage,MdAge,median,sex_and_age,demographic,True,30,0.7,1.4,,,True,36.5,0.1,0.2,,,True,1.1999999999999993,0.9899494936611665,False,,,,,-5.300000000000001,0.7071067811865475,True,,
TWRQb3AwdDQ=,5534,678,7.4,0,0,mdpop0t4,MdPop0t4,MdAge,demographic__special_variable,demographic,True,4247,0,,0,0,False,551869,0,,0,0,False,1287,678,False,0.30303743819166473,0.15964210030609843,False,0,0,-546335,678,True,0,0
TWRQb3AxMHQxNA==,3696,405,6.7,0,0,mdpop10t14,MdPop10t14,MdAge,demographic__special_variable,demographic,True,2269,0,,0,0,False,464704,0,,0,0,False,1427,405,True,0.628911414720141,0.17849272807404146,True,0,0,-461008,405,True,0,0
TWRQb3AxNXQxNw==,1739,298,10.4,0,0,mdpop15t17,MdPop15t17,MdAge,demographic__special_variable,demographic,True,1871,0,,0,0,False,273431,0,,0,0,False,-132,298,False,-0.07055050774986638,0.15927311598075897,False,0,0,-271692,298,True,0,0
TWRQb3AxOHQxOQ==,1234,218,10.7,0,0,mdpop18t19,MdPop18t19,MdAge,demographic__special_variable,demographic,True,1482,0,,0,0,False,182243,0,,0,0,False,-248,218,False,-0.16734143049932523,0.14709851551956815,False,0,0,-181009,218,True,0,0
TWRQb3AyMA==,708,182,15.7,0,0,mdpop20,MdPop20,MdAge,demographic__special_variable,demographic,True,1206,0,,0,0,False,105547,0,,0,0,False,-498,182,False,-0.4129353233830846,0.15091210613598674,False,0,0,-104839,182,True,0,0
TWRQb3AyMQ==,711,170,14.6,0,0,mdpop21,MdPop21,MdAge,demographic__special_variable,demographic,True,871,0,,0,0,False,105415,0,,0,0,False,-160,170,False,-0.18369690011481057,0.19517795637198623,False,0,0,-104704,170,True,0,0
