id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RmFtQndQdg==,2405,297,7.5,0.111,0.014,fambwpv,FamBwPv,FamPvU,income_in_past_12_months_is_below_the_poverty_level,economic,True,2249,310,8.4,0.107,0.014,True,294980,3717,0.8,0.156,0.002,True,156,429.3122406826994,False,0.06936416184971098,0.19790476590406325,False,0.0040000000000000036,0.019798989873223333,False,-292575,3728.8467386043103,True,-4.5,1.4142135623730951,True
RmFtSTEwdDE0,538,137,15.5,0.025,0.006,fami10t14,FamI10t14,Fam2,income_and_benefits,economic,True,,0,,0,0,False,77738,2003,1.6,0.041,0.001,True,,,,,0.025,0.006,True,-77200,2007.6797553394815,True,-1.6000000000000005,0.6082762530298219,False
RmFtSTE1dDI0,1530,227,9,0.071,0.01,fami15t24,FamI15t24,Fam2,income_and_benefits,economic,True,,0,,0,0,False,168362,3233,1.2,0.089,0.002,True,,,,,0.071,0.01,True,-166832,3240.95942584908,True,-1.8000000000000007,1.019803902718557,False
RmFtSTIwMHBs,1408,197,8.5,0.065,0.009,fami200pl,FamI200pl,Fam2,income_and_benefits,economic,True,,0,,0,0,False,222929,3638,1,0.118,0.002,True,,,,,0.065,0.009,True,-221521,3643.3299329047873,True,-5.299999999999999,0.9219544457292886,True
RmFtSTI1dDM0,1224,195,9.7,0.057,0.009,fami25t34,FamI25t34,Fam2,income_and_benefits,economic,True,,0,,0,0,False,160633,3131,1.2,0.085,0.002,True,,,,,0.057,0.009,True,-159409,3137.066464071171,True,-2.8,0.9219544457292886,False
RmFtSTM1dDQ5,2280,283,7.5,0.106,0.013,fami35t49,FamI35t49,Fam2,income_and_benefits,economic,True,,0,,0,0,False,210893,3279,0.9,0.112,0.002,True,,,,,0.106,0.013,True,-208613,3291.189754480893,True,-0.6000000000000014,1.3152946437965907,False
RmFtSTUwdDc0,3637,327,5.5,0.169,0.015,fami50t74,FamI50t74,Fam2,income_and_benefits,economic,True,,0,,0,0,False,287074,3475,0.7,0.152,0.002,True,,,,,0.169,0.015,True,-283437,3490.3515582244722,True,1.7000000000000028,1.5132745950421556,False
RmFtSTc1dDk5,3613,335,5.6,0.167,0.015,fami75t99,FamI75t99,Fam2,income_and_benefits,economic,True,,0,,0,0,False,214732,3170,0.9,0.114,0.002,True,,,,,0.167,0.015,True,-211119,3187.6519571621993,True,5.299999999999999,1.5132745950421556,True
RmFtSVUxMA==,988,197,12.1,0.046,0.009,famiu10,FamIU10,Fam2,income_and_benefits,economic,True,,0,,0,0,False,112405,2509,1.4,0.06,0.001,True,,,,,0.046,0.009,True,-111417,2516.7220744452493,True,-1.4000000000000004,0.9055385138137416,False
RmFtUHZV,21583,510,1.4,1,0,fampvu,FamPvU,FamPvU,income_in_past_12_months_is_below_the_poverty_level,economic,True,21025,577,1.7,1,0,True,1887978,7339,0.2,1,0,True,558,770.0837616779099,False,0.026539833531510106,0.03717590864299113,False,0,0,-1866395,7356.699055962531,True,0,0
RkYxMHQxMnA1,207,80,23.4,0.005,0.002,ff10t12p5,FF10t12p5,MdEFFTWrk,economic__special_variable,economic,False,340,0,,0,0,False,22815,0,,0,0,False,-133,80,False,-0.3911764705882353,0.2352941176470588,False,0.005,0.002,False,-22608,80,True,0.5,0.2,False
RkYxMnA1dDE1,252,102,24.5,0.006,0.002,ff12p5t15,FF12p5t15,MdEFFTWrk,economic__special_variable,economic,False,147,0,,0,0,False,23183,0,,0,0,False,105,102,False,0.7142857142857143,0.6938775510204082,False,0.006,0.002,False,-22931,102,True,0.6,0.2,False
RkYxNXQxN3A1,372,116,19,0.008,0.003,ff15t17p5,FF15t17p5,MdEFFTWrk,economic__special_variable,economic,True,391,0,,0,0,False,34778,0,,0,0,False,-19,116,False,-0.04859335038363171,0.2966751918158568,False,0.008,0.003,False,-34406,116,True,0.8,0.3,False
RkYxN3A1dDIw,292,94,19.5,0.006,0.002,ff17p5t20,FF17p5t20,MdEFFTWrk,economic__special_variable,economic,True,533,0,,0,0,False,33443,0,,0,0,False,-241,94,False,-0.4521575984990619,0.17636022514071295,False,0.006,0.002,False,-33151,94,True,0.6,0.2,False
RkYyMHQyMnA1,1023,204,12.1,0.022,0.004,ff20t22p5,FF20t22p5,MdEFFTWrk,economic__special_variable,economic,True,1089,0,,0,0,False,56003,0,,0,0,False,-66,204,False,-0.06060606060606061,0.18732782369146006,False,0.022,0.004,True,-54980,204,True,2.1999999999999997,0.4,True
RkYyMnA1dDI1,387,109,17.2,0.008,0.002,ff22p5t25,FF22p5t25,MdEFFTWrk,economic__special_variable,economic,True,351,0,,0,0,False,32627,0,,0,0,False,36,109,False,0.10256410256410256,0.31054131054131057,False,0.008,0.002,True,-32240,109,True,0.8,0.2,True
