id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
SHNwSG5k,345,187,32.9,0.029,0.015,hsphnd,HspHnd,Hsp2,hispanic_subgroup,demographic,False,184,145,47.9,0.017,0.013,False,50108,3416,4.1,0.02,0.001,True,161,236.63051367057463,False,0.875,1.7933548675025621,False,0.012,0.019849433241279208,False,-49763,3421.114584459281,True,0.9000000000000004,1.5033296378372907,False
SHNwTWU=,2603,764,17.9,0.219,0.061,hspme,HspMe,Hsp2,hispanic_subgroup,demographic,True,1757,659,22.8,0.164,0.059,False,339425,7811,1.4,0.138,0.003,True,846,1008.9484625093593,False,0.4815025611838361,0.7055826229568799,False,0.05499999999999999,0.0848645980371085,False,-336822,7848.274778573951,True,8.099999999999998,6.107372593840988,False
SHNwTmlj,0,0,,0,0,hspnic,HspNic,Hsp2,hispanic_subgroup,demographic,False,53,71,81.4,0.005,0.007,False,12560,1653,8,0.005,0.001,True,-53,71,False,-1,0,True,-0.005,0.007,False,-12560,1653,True,-0.5,0.1,True
SHNwT0NBbQ==,0,0,,0,0,hspocam,HspOCAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,1606,513,19.4,0.001,0,True,0,0,0,,,,-1606,513,True,-0.1,0,True
SHNwT1NBbQ==,0,0,,0,0,hsposam,HspOSAm,Hsp2,hispanic_subgroup,demographic,False,27,31,69.4,0.003,0.003,False,2811,708,15.3,0.001,0,True,-27,31,False,-1,0,True,-0.003,0.003,False,-2811,708,True,-0.1,0,True
SHNwT3Ro,459,258,34.1,0.039,0.021,hspoth,HspOth,Hsp2,hispanic_subgroup,demographic,False,440,192,26.6,0.041,0.017,False,108479,3640,2,0.044,0.001,True,19,321.6022387981775,False,0.04318181818181818,0.7423175690139993,False,-0.0020000000000000018,0.027018512172212593,False,-108020,3649.131951574237,True,-0.49999999999999956,2.1023796041628637,False
SHNwUGFu,75,90,73.3,0.006,0.008,hsppan,HspPan,Hsp2,hispanic_subgroup,demographic,False,169,164,58.9,0.016,0.015,False,22824,1473,3.9,0.009,0.001,True,-94,187.0721785835617,False,-0.5562130177514792,0.6848862171729774,False,-0.01,0.016999999999999998,False,-22749,1475.7469295241647,True,-0.29999999999999993,0.806225774829855,False
SHNwUGVydQ==,76,61,48.4,0.006,0.005,hspperu,HspPeru,Hsp2,hispanic_subgroup,demographic,False,195,130,40.5,0.018,0.012,False,40211,2081,3.1,0.016,0.001,True,-119,143.60013927569847,False,-0.6102564102564103,0.4066544154106061,False,-0.011999999999999999,0.013000000000000001,False,-40135,2081.89384935928,True,-1,0.5099019513592785,False
SHNwUFI=,6214,894,8.7,0.522,0.055,hsppr,HspPR,Hsp2,hispanic_subgroup,demographic,True,6120,940,9.3,0.571,0.059,True,696879,8571,0.7,0.284,0.003,True,94,1297.2416891235034,False,0.015359477124183006,0.21368324478396464,False,-0.04899999999999993,0.08065977932030312,False,-690665,8617.498302871896,True,23.800000000000004,5.508175741568165,True
SHNwUHJn,0,0,,0,0,hspprg,HspPrg,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3666,808,13.4,0.001,0,True,0,0,0,,,,-3666,808,True,-0.1,0,True
SHNwU2Fsdg==,164,139,51.5,0.014,0.012,hspsalv,HspSalv,Hsp2,hispanic_subgroup,demographic,False,74,121,99.4,0.007,0.011,False,46973,2844,3.7,0.019,0.001,True,90,184.2878183711555,False,1.2162162162162162,4.081706261750188,False,0.007,0.016278820596099707,False,-46809,2847.394774175158,True,-0.4999999999999998,1.2041594578792296,False
SHNwU0Ft,1188,479,24.5,0.1,0.039,hspsam,HspSAm,Hsp2,hispanic_subgroup,demographic,False,1124,385,20.8,0.105,0.034,False,392206,7423,1.2,0.16,0.003,True,64,614.5453604088148,False,0.05693950177935943,0.5591736287237914,False,-0.0049999999999999906,0.05173973328110612,False,-391018,7438.438680260798,True,-6,3.9115214431215892,False
SHNwU3BBbQ==,0,0,,0,0,hspspam,HspSpAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,601,224,22.7,0,0,False,0,0,0,,,,-601,224,False,0,0
SHNwU3BucmQ=,183,213,70.6,0.015,0.018,hspspnrd,HspSpnrd,Hsp2,hispanic_subgroup,demographic,False,108,105,58.9,0.01,0.01,False,24966,1807,4.4,0.01,0.001,True,75,237.47420912595962,False,0.6944444444444444,2.5697295517126473,False,0.004999999999999999,0.020591260281974,False,-24783,1819.510373699474,True,0.5,1.8027756377319943,False
SHNwU3Buc2g=,0,0,,0,0,hspspnsh,HspSpnsh,Hsp2,hispanic_subgroup,demographic,False,126,109,52.6,0.012,0.01,False,9505,1192,7.6,0.004,0,True,-126,109,False,-1,0,True,-0.012,0.01,False,-9505,1192,True,-0.4,0,True
SHNwVXJn,0,0,,0,0,hspurg,HspUrg,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3021,707,14.2,0.001,0,True,0,0,0,,,,-3021,707,True,-0.1,0,True
