id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RXJuMTAwcGw=,17311,319,1.1202182002448,0,0,ern100pl,Ern100pl,MdEWrk,economic__special_variable,economic,True,12231,0,,0,0,False,640046,0,,0,0,False,5080,319,True,0.4153380753822255,0.02608126890687597,True,0,0,-622735,319,True,0,0
RXJuMjV0MzA=,3891,148,2.31224890422056,0,0,ern25t30,Ern25t30,MdEWrk,economic__special_variable,economic,True,4490,0,,0,0,False,262316,0,,0,0,False,-599,148,True,-0.1334075723830735,0.03296213808463252,True,0,0,-258425,148,True,0,0
RXJuMnB0NXQ1,2431,137,3.42586074751281,0,0,ern2pt5t5,Ern2pt5t5,MdEWrk,economic__special_variable,economic,True,2610,0,,0,0,False,128242,0,,0,0,False,-179,137,False,-0.0685823754789272,0.0524904214559387,False,0,0,-125811,137,True,0,0
RXJuMzB0MzU=,4222,194,2.79330011130005,0,0,ern30t35,Ern30t35,MdEWrk,economic__special_variable,economic,True,4424,0,,0,0,False,257513,0,,0,0,False,-202,194,False,-0.045660036166365284,0.04385171790235081,False,0,0,-253291,194,True,0,0
RXJuMzV0NDA=,4532,185,2.48150940156724,0,0,ern35t40,Ern35t40,MdEWrk,economic__special_variable,economic,True,4618,0,,0,0,False,217597,0,,0,0,False,-86,185,False,-0.01862278042442616,0.0400606323083586,False,0,0,-213065,185,True,0,0
RXJuNDB0NDU=,4909,181,2.24140140836786,0,0,ern40t45,Ern40t45,MdEWrk,economic__special_variable,economic,True,4850,0,,0,0,False,235829,0,,0,0,False,59,181,False,0.012164948453608248,0.037319587628865974,False,0,0,-230920,181,True,0,0
RXJuNDV0NTA=,2896,158,3.31659641639658,0,0,ern45t50,Ern45t50,MdEWrk,economic__special_variable,economic,True,3720,0,,0,0,False,155389,0,,0,0,False,-824,158,True,-0.221505376344086,0.04247311827956989,True,0,0,-152493,158,True,0,0
RXJuNTB0NTU=,5395,223,2.51273975959954,0,0,ern50t55,Ern50t55,MdEWrk,economic__special_variable,economic,True,5732,0,,0,0,False,213254,0,,0,0,False,-337,223,False,-0.05879274249825541,0.03890439637124913,False,0,0,-207859,223,True,0,0
RXJuNTV0NjU=,7002,242,2.10100631256897,0,0,ern55t65,Ern55t65,MdEWrk,economic__special_variable,economic,True,6366,0,,0,0,False,294509,0,,0,0,False,636,242,False,0.0999057492931197,0.038014451775054976,False,0,0,-287507,242,True,0,0
RXJuNXQ3cHQ1,2963,123,2.52352468694445,0,0,ern5t7pt5,Ern5t7pt5,MdEWrk,economic__special_variable,economic,True,3023,0,,0,0,False,149059,0,,0,0,False,-60,123,False,-0.01984783327820046,0.04068805822031095,False,0,0,-146096,123,True,0,0
RXJuNjV0NzU=,6904,312,2.74718501586675,0,0,ern65t75,Ern65t75,MdEWrk,economic__special_variable,economic,True,6554,0,,0,0,False,221820,0,,0,0,False,350,312,False,0.05340250228867867,0.047604516325907835,False,0,0,-214916,312,True,0,0
RXJuNzV0MTAw,13132,350,1.62020984957972,0,0,ern75t100,Ern75t100,MdEWrk,economic__special_variable,economic,True,13174,0,,0,0,False,391186,0,,0,0,False,-42,350,False,-0.003188097768331562,0.026567481402763018,False,0,0,-378054,350,True,0,0
RXJuVTJwdDVr,3560,167,2.85167856289061,0,0,ernu2pt5k,ErnU2pt5k,MdEWrk,economic__special_variable,economic,True,3728,0,,0,0,False,175652,0,,0,0,False,-168,167,False,-0.045064377682403435,0.0447961373390558,False,0,0,-172092,167,True,0,0
RjE2cGw=,79464,1386.63802053744,1.06078355723273,1,0,f16pl,F16pl,F16pl,employment_status,economic,True,73427,1274.62190472312,1.05526052091033,1,0,True,3642664,1274,0,1,0,True,6037,1883.4611756019779,True,0.08221771283043022,0.026637393821111317,True,0,0,-3563200,1883.0403606933096,True,0,0
RjE2cGxDTEZF,42295,1367.27539288908,1.96517425606882,0.532253599114064,0.0144841824646774,f16plclfe,F16plCLFE,F16pl,employment_status,economic,True,37637,1149.11313629251,1.85601673625103,0.512577117409127,0.0128741053793918,True,1986266,7118,0.2,0.545,0.002,True,4658,1786.0299549559622,False,0.12376119244360603,0.049969017221949914,False,0.019676481704936966,0.019378703026512203,False,-1943971,7248.128448089202,True,-1.274640088593607,1.462161214333318,False
RjE2cGxDdkxG,43937,1370.98869433705,1.89687001322915,0.552917044196114,0.0143029337155615,f16plcvlf,F16plCvLF,F16pl,employment_status,economic,True,39944,1166.36915254134,1.77508261192012,0.543996077737072,0.0127730261415231,True,2130364,7693,0.2,0.585,0.002,True,3993,1800.0074999843787,False,0.09996495093130382,0.047007327548060376,False,0.008920966459041946,0.019176133856535795,False,-2086427,7814.208789122544,True,-3.208295580388601,1.4442088244840006,False
