id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QzY1cGxEVnNu,0,0,,0,0,c65pldvsn,C65plDVsn,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,88066,2373,1.6,0.076,0.002,True,,,,,0,0,-88066,2373,True,-7.6,0.2,True
Q2Fib1ZlcmQ=,0,0,,0,0,caboverd,CaboVerd,Fb2,place_of_birth,social,False,0,0,,0,0,False,147,110,45.5,0,0,False,0,0,0,,,,-147,110,False,0,0
Q2FqdW4=,0,0,,0,0,cajun,Cajun,Pop_5,ancestry,social,False,0,0,,0,0,False,258,107,25.2,0,0,False,0,0,0,,,,-258,107,False,0,0
Q0Ft,0,0,,0,0,cam,CAm,Fb2,place_of_birth,social,False,0,0,,0,0,False,290411,5931,1.2,0.093,0.002,True,0,0,0,,,,-290411,5931,True,-9.3,0.2,True
Q2FtYm9kaWE=,0,0,,0,0,cambodia,Cambodia,Fb2,place_of_birth,social,False,0,0,,0,0,False,1952,726,22.6,0.001,0,False,0,0,0,,,,-1952,726,False,-0.1,0,True
Q2FtZXJvb24=,0,0,,0,0,cameroon,Cameroon,Fb2,place_of_birth,social,False,0,0,,0,0,False,914,304,20.2,0,0,False,0,0,0,,,,-914,304,False,0,0
Q2FuYWRh,0,0,,0,0,canada,Canada,Fb2,place_of_birth,social,False,0,0,,0,0,False,23521,1284,3.3,0.008,0,True,0,0,0,,,,-23521,1284,True,-0.8,0,True
Q2FuYWRpYW4=,0,0,,0,0,canadian,Canadian,Pop_5,ancestry,social,False,0,0,,0,0,False,11091,1006,5.5,0.001,0,True,0,0,0,,,,-11091,1006,True,-0.1,0,True
Q2FyaWI=,0,0,,0,0,carib,Carib,Fb2,place_of_birth,social,False,0,0,,0,0,False,870231,7617,0.5,0.278,0.002,True,0,0,0,,,,-870231,7617,True,-27.800000000000004,0.2,True
Q2FycFJ1c24=,0,0,,0,0,carprusn,CarpRusn,Pop_5,ancestry,social,False,0,0,,0,0,False,426,211,30.1,0,0,False,0,0,0,,,,-426,211,False,0,0
Q2VsdGlj,0,0,,0,0,celtic,Celtic,Pop_5,ancestry,social,False,0,0,,0,0,False,409,167,24.8,0,0,False,0,0,0,,,,-409,167,False,0,0
Q2hpbGU=,0,0,,0,0,chile,Chile,Fb2,place_of_birth,social,False,0,0,,0,0,False,5278,650,7.5,0.002,0,True,0,0,0,,,,-5278,650,True,-0.2,0,True
Q2hpbmE=,0,0,,0,0,china,China,Fb2,place_of_birth,social,False,0,0,,0,0,False,391239,4367,0.7,0.125,0.001,True,0,0,0,,,,-391239,4367,True,-12.5,0.1,True
Q2hOb0hLVHdu,0,0,,0,0,chnohktwn,ChNoHKTwn,Fb2,place_of_birth,social,False,0,0,,0,0,False,334774,4348,0.8,0.107,0.001,True,0,0,0,,,,-334774,4348,True,-10.7,0.1,True
Q05JMTg2NF8x,0,0,,0,0,cni1864_1,CNI1864_1,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,5460031,1359,0,1,0,True,,,,,0,0,-5460031,1359,True,-100,0,True
Q05JMTh0NjRE,0,0,,0,0,cni18t64d,CNI18t64D,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,432783,4650,0.7,0.079,0.001,True,,,,,0,0,-432783,4650,True,-7.9,0.1,True
Q29sb21iaWE=,0,0,,0,0,colombia,Colombia,Fb2,place_of_birth,social,False,0,0,,0,0,False,68853,2625,2.3,0.022,0.001,True,0,0,0,,,,-68853,2625,True,-2.1999999999999997,0.1,True
Q3JvYXRpYQ==,0,0,,0,0,croatia,Croatia,Fb2,place_of_birth,social,False,0,0,,0,0,False,3828,540,8.6,0.001,0,True,0,0,0,,,,-3828,540,True,-0.1,0,True
Q3JvYXRpYW4=,0,0,,0,0,croatian,Croatian,Pop_5,ancestry,social,False,0,0,,0,0,False,8747,958,6.7,0.001,0,True,0,0,0,,,,-8747,958,True,-0.1,0,True
Q3N0YVJpY2E=,0,0,,0,0,cstarica,CstaRica,Fb2,place_of_birth,social,False,0,0,,0,0,False,4079,490,7.3,0.001,0,True,0,0,0,,,,-4079,490,True,-0.1,0,True
Q1UxOERBbWI=,0,0,,0,0,cu18damb,CU18DAmb,CvNIU18_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,9449,770,5,0.005,0,True,,,,,0,0,-9449,770,True,-0.5,0,True
Q1UxOERDb2c=,0,0,,0,0,cu18dcog,CU18DCog,CvNIU18_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,40000,1746,2.7,0.023,0.001,True,,,,,0,0,-40000,1746,True,-2.3,0.1,True
Q1UxOERIcmc=,0,0,,0,0,cu18dhrg,CU18DHrg,CvNIU18_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,8799,793,5.5,0.005,0,True,,,,,0,0,-8799,793,True,-0.5,0,True
Q1UxOERTQ3I=,0,0,,0,0,cu18dscr,CU18DSCr,CvNIU18_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,14198,960,4.1,0.008,0.001,True,,,,,0,0,-14198,960,True,-0.8,0.1,True
Q1UxOERWc24=,0,0,,0,0,cu18dvsn,CU18DVsn,CvNIU18_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,14491,1011,4.2,0.008,0.001,True,,,,,0,0,-14491,1011,True,-0.8,0.1,True
Q3ViYQ==,0,0,,0,0,cuba,Cuba,Fb2,place_of_birth,social,False,0,0,,0,0,False,14661,1103,4.6,0.005,0,True,0,0,0,,,,-14661,1103,True,-0.5,0,True
Q3ZOSTY1cGw=,0,0,,0,0,cvni65pl,CvNI65pl,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,1154990,1054,0.1,1,0,True,,,,,0,0,-1154990,1054,True,-100,0,True
Q3ZOSTY1cGxE,0,0,,0,0,cvni65pld,CvNI65plD,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,412178,3889,0.6,0.357,0.003,True,,,,,0,0,-412178,3889,True,-35.699999999999996,0.3,True
Q3ZOSUQ=,0,0,,0,0,cvnid,CvNID,CvNIPop1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,905592,6341,0.4,0.108,0.001,True,,,,,0,0,-905592,6341,True,-10.8,0.1,True
Q3ZOSURfQW1i,0,0,,0,0,cvnid_amb,CvNID_Amb,CvNIPop1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,546417,5230,0.6,0.065,0.001,True,,,,,0,0,-546417,5230,True,-6.5,0.1,True
Q3ZOSURfQ29n,0,0,,0,0,cvnid_cog,CvNID_Cog,CvNIPop1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,331130,4848,0.9,0.04,0.001,True,,,,,0,0,-331130,4848,True,-4,0.1,True
Q3ZOSURfSHJn,0,0,,0,0,cvnid_hrg,CvNID_Hrg,CvNIPop1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,181759,2893,1,0.022,0,True,,,,,0,0,-181759,2893,True,-2.1999999999999997,0,True
Q3ZOSURfSUxE,0,0,,0,0,cvnid_ild,CvNID_ILD,CvNIPop1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,370804,4201,0.7,0.044,0.001,True,,,,,0,0,-370804,4201,True,-4.3999999999999995,0.1,True
Q3ZOSURfU0Ny,0,0,,0,0,cvnid_scr,CvNID_SCr,CvNIPop1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,231666,3504,0.9,0.028,0,True,,,,,0,0,-231666,3504,True,-2.8000000000000003,0,True
Q3ZOSURfVnNu,0,0,,0,0,cvnid_vsn,CvNID_Vsn,CvNIPop1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,198917,3563,1.1,0.024,0,True,,,,,0,0,-198917,3563,True,-2.4,0,True
Q3ZOSVBvcDE=,0,0,,0,0,cvnipop1,CvNIPop1,CvNIPop1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,0,0,-8379895,1861,True,-100,0,True
Q3ZOSVUxOF8x,0,0,,0,0,cvniu18_1,CvNIU18_1,CvNIU18_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,1764874,282,0,1,0,True,,,,,0,0,-1764874,282,True,-100,0,True
Q3ZOSVUxOEQ=,0,0,,0,0,cvniu18d,CvNIU18D,CvNIU18_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,60631,1940,1.9,0.034,0.001,True,,,,,0,0,-60631,1940,True,-3.4000000000000004,0.1,True
Q3ZQb3AxOHBs,0,0,,0,0,cvpop18pl,CvPop18pl,CvPop18pl,veteran_status,social,False,0,0,,0,0,False,6674840,385,0,1,0,True,0,0,0,,,,-6674840,385,True,-100,0,True
Q3ZyZGVhbg==,0,0,,0,0,cvrdean,Cvrdean,Pop_5,ancestry,social,False,0,0,,0,0,False,676,253,22.8,0,0,False,0,0,0,,,,-676,253,False,0,0
Q3ZWZXQxOHBs,0,0,,0,0,cvvet18pl,CvVet18pl,CvPop18pl,veteran_status,social,False,0,0,,0,0,False,156514,2967,1.2,0.023,0.001,True,0,0,0,,,,-156514,2967,True,-2.3,0.1,True
Q3lwcmlvdA==,0,0,,0,0,cypriot,Cypriot,Pop_5,ancestry,social,False,0,0,,0,0,False,1131,291,15.6,0,0,True,0,0,0,,,,-1131,291,True,0,0
Q3pjaHNsdg==,0,0,,0,0,czchslv,Czchslv,Fb2,place_of_birth,social,False,0,0,,0,0,False,4939,464,5.7,0.002,0,True,0,0,0,,,,-4939,464,True,-0.2,0,True
Q3plY2g=,0,0,,0,0,czech,Czech,Pop_5,ancestry,social,False,0,0,,0,0,False,12010,967,4.9,0.001,0,True,0,0,0,,,,-12010,967,True,-0.1,0,True
Q3plY2hTbHY=,0,0,,0,0,czechslv,CzechSlv,Pop_5,ancestry,social,False,0,0,,0,0,False,3960,578,8.9,0,0,True,0,0,0,,,,-3960,578,True,0,0
RGFuaXNo,0,0,,0,0,danish,Danish,Pop_5,ancestry,social,False,0,0,,0,0,False,8248,761,5.6,0.001,0,True,0,0,0,,,,-8248,761,True,-0.1,0,True
RGNoV0luZA==,0,0,,0,0,dchwind,DchWInd,Pop_5,ancestry,social,False,0,0,,0,0,False,771,202,15.9,0,0,True,0,0,0,,,,-771,202,True,0,0
RGVubWFyaw==,0,0,,0,0,denmark,Denmark,Fb2,place_of_birth,social,False,0,0,,0,0,False,1202,260,13.1,0,0,True,0,0,0,,,,-1202,260,True,0,0
RGZIczE=,0,0,,0,0,dfhs1,DfHs1,Pop1pl,residence_1_year_ago,social,False,0,0,,0,0,False,834614,9929,0.7,0.1,0.001,True,0,0,0,,,,-834614,9929,True,-10,0.1,True
RGZIczI=,0,0,,0,0,dfhs2,DfHs2,DfHs2,residence_1_year_ago,social,False,0,0,,0,0,False,834614,9929,0.7,1,0,True,0,0,0,,,,-834614,9929,True,-100,0,True
