id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RmFtSTE1dDI0,373,109,17.764449913215,0.0215744114755047,0.00626304910216498,fami15t24,FamI15t24,Fam2,income_and_benefits,economic,True,,0,,,,False,168362,3233,1.2,0.089,0.002,True,,,,,,,-167989,3234.8369356120565,True,-6.74255885244953,0.6574631857079876,True
RmFtSTIwMHBs,6662,439,4.00584360420075,0.385331713806467,0.0218682209784167,fami200pl,FamI200pl,Fam2,income_and_benefits,economic,True,,0,,,,False,222929,3638,1,0.118,0.002,True,,,,,,,-216267,3664.3914910937124,True,26.733171380646702,2.195948744303619,True
RmFtSTI1dDM0,327,103,19.1480066553266,0.0189137601943432,0.00592377702517579,fami25t34,FamI25t34,Fam2,income_and_benefits,economic,True,,0,,,,False,160633,3131,1.2,0.085,0.002,True,,,,,,,-160306,3132.69372904534,True,-6.60862398056568,0.6252290319874833,True
RmFtSTM1dDQ5,853,208,14.8234195776038,0.0493377291919718,0.0119167684000348,fami35t49,FamI35t49,Fam2,income_and_benefits,economic,True,,0,,,,False,210893,3279,0.9,0.112,0.002,True,,,,,,,-210040,3285.5905100909945,True,-6.266227080802821,1.208343366349433,True
RmFtSTUwdDc0,1211,219,10.9934516175182,0.0700445369888368,0.0124479179772486,fami50t74,FamI50t74,Fam2,income_and_benefits,economic,True,,0,,,,False,287074,3475,0.7,0.152,0.002,True,,,,,,,-285863,3481.8940248089116,True,-8.19554630111632,1.2607563680914284,True
RmFtSTc1dDk5,1506,232,9.36476989710863,0.0871074093354156,0.0130980115416159,fami75t99,FamI75t99,Fam2,income_and_benefits,economic,True,,0,,,,False,214732,3170,0.9,0.114,0.002,True,,,,,,,-213226,3178.4782522458763,True,-2.6892590664584404,1.3249826653368084,False
RmFtSVUxMA==,313,117,22.723520786195,0.0181039967609463,0.00674009456435641,famiu10,FamIU10,Fam2,income_and_benefits,economic,False,,0,,,,False,112405,2509,1.4,0.06,0.001,True,,,,,,,-112092,2511.7264978496364,True,-4.1896003239053705,0.6813873695370852,True
RmFtUHZV,17289,579,2.03583598756769,1,0,fampvu,FamPvU,FamPvU,income_in_past_12_months_is_below_the_poverty_level,economic,True,15363,616,2.4374671945999,1,0,True,1887978,7339,0.2,1,0,True,1926,845.3975396226322,False,0.1253661394258934,0.05879176870723781,False,0,0,-1870689,7361.804262543253,True,0,0
RkYxMHQxMnA1,79,45,34.627371013043,0,0,ff10t12p5,FF10t12p5,MdEFFTWrk,economic__special_variable,economic,False,203,0,,0,0,False,22815,0,,0,0,False,-124,45,False,-0.6108374384236454,0.2216748768472907,False,0,0,-22736,45,True,0,0
RkYxMnA1dDE1,57,44,46.9258252013011,0,0,ff12p5t15,FF12p5t15,MdEFFTWrk,economic__special_variable,economic,False,159,0,,0,0,False,23183,0,,0,0,False,-102,44,False,-0.6415094339622641,0.27672955974842767,False,0,0,-23126,44,True,0,0
