id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
SHNwQ2hs,0,0,,0,0,hspchl,HspChl,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,7524,974,7.9,0.003,0,True,0,0,0,,,,-7524,974,True,-0.3,0,True
SHNwQ29s,128,99,47.3,0.007,0.006,hspcol,HspCol,Hsp2,hispanic_subgroup,demographic,False,149,95,38.7,0.009,0.006,False,102532,3800,2.3,0.042,0.002,True,-21,137.20787149431334,False,-0.14093959731543623,0.8610848785569503,False,-0.001999999999999999,0.00848528137423857,False,-102404,3801.2893865108454,True,-3.5,0.6324555320336759,True
SHNwQ1I=,27,44,99.1,0.002,0.002,hspcr,HspCR,Hsp2,hispanic_subgroup,demographic,False,16,26,98.8,0.001,0.002,False,7377,1032,8.5,0.003,0,True,11,51.10772935672255,False,0.6875,3.8835669538655115,False,0.001,0.00282842712474619,False,-7350,1032.937558616202,True,-0.09999999999999998,0.2,False
SHNwQ3Vi,164,110,40.7,0.009,0.006,hspcub,HspCub,Hsp2,hispanic_subgroup,demographic,False,274,149,33,0.016,0.009,False,39929,2284,3.5,0.016,0.001,True,-110,185.20529150107996,False,-0.40145985401459855,0.5168264018947136,False,-0.007000000000000001,0.010816653826391968,False,-39765,2286.6473274206496,True,-0.7000000000000002,0.6082762530298219,False
SHNwRG9t,6082,1103,11,0.343,0.055,hspdom,HspDom,Hsp2,hispanic_subgroup,demographic,True,3263,737,13.7,0.196,0.041,True,701188,8731,0.8,0.285,0.004,True,2819,1326.5662441054349,False,0.8639288997854735,0.5399120775341804,False,0.14700000000000002,0.06860029154456998,False,-695106,8800.396013816651,True,5.800000000000008,5.514526271584895,False
SHNwRWM=,725,455,38.2,0.041,0.025,hspec,HspEc,Hsp2,hispanic_subgroup,demographic,False,308,214,42.3,0.018,0.013,False,196728,6097,1.9,0.08,0.002,True,417,502.8130865440954,False,1.353896103896104,2.2039039176235917,False,0.023000000000000003,0.028178005607210743,False,-196003,6113.95403973566,True,-3.8999999999999995,2.5079872407968904,False
SHNwR3VhdG0=,56,50,54.4,0.003,0.003,hspguatm,HspGuatm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,37583,2564,4.1,0.015,0.001,True,56,50,False,0,,0.003,0.003,False,-37527,2564.4874731610603,True,-1.2,0.31622776601683794,True
SHNwSG5k,390,318,49.6,0.022,0.018,hsphnd,HspHnd,Hsp2,hispanic_subgroup,demographic,False,636,371,35.4,0.038,0.022,False,50108,3416,4.1,0.02,0.001,True,-246,488.635856236523,False,-0.3867924528301887,0.6147783662256916,False,-0.016,0.02842534080710379,False,-49718,3430.769592963072,True,0.19999999999999973,1.8027756377319943,False
SHNwTWU=,4559,1294,17.3,0.257,0.07,hspme,HspMe,Hsp2,hispanic_subgroup,demographic,True,4933,1137,14,0.296,0.063,True,339425,7811,1.4,0.138,0.003,True,-374,1722.55769134157,False,-0.07581593350902088,0.3379113306224879,False,-0.03899999999999998,0.09417536832951598,False,-334866,7917.4589989465685,True,11.899999999999999,7.006425622241345,False
SHNwTmlj,29,57,119.5,0.002,0.003,hspnic,HspNic,Hsp2,hispanic_subgroup,demographic,False,178,278,94.9,0.011,0.017,False,12560,1653,8,0.005,0.001,True,-149,283.7833680820636,False,-0.8370786516853933,0.40900950209767317,False,-0.009,0.01726267650163207,False,-12531,1653.9824666543475,True,-0.3,0.31622776601683794,False
