id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QmVsaXplYW4=,132,134.807269833641,62.0831122011793,0.000328977701791682,0.000335942640273783,belizean,Belizean,Pop_5,ancestry,social,False,139,115.641687984913,50.5747471014905,0.000349559781009599,0.000290783375131297,False,7054,1069,9.2,0.001,0,True,-7,177.6119365358085,False,-0.050359712230215826,1.2509091856349233,False,-2.0582079217917003e-05,0.000444311184652006,False,-6922,1077.4664727962536,True,-0.0671022298208318,0.0335942640273783,False
QmVybXVkYW4=,0,0,,0,0,bermudan,Bermudan,Pop_5,ancestry,social,False,0,0,,0,0,False,344,169,29.9,0,0,False,0,0,0,,,,-344,169,False,0,0
Qm5nbGRzaA==,815,368.344947026561,27.4745890709203,0.00855445461415736,0.00385210718415476,bngldsh,Bngldsh,Fb2,place_of_birth,social,False,753,443.177165476743,35.7780360201942,0.0083132769546689,0.00488542219880177,False,86980,3108,2.2,0.028,0.001,True,62,576.2672990895809,False,0.08233731739707835,0.8031604264109874,False,0.00024117765948846077,0.0062214210449672855,False,-86165,3129.7511083151644,True,-1.9445545385842644,0.3979790165098748,True
Qm9saXZpYQ==,48,54.1202365109392,68.5413329672483,0.000503820639852213,0.000567726985290272,bolivia,Bolivia,Fb2,place_of_birth,social,False,94,74.0945342113708,47.9173085503271,0.00103777959327872,0.000817334609843212,False,2382,425,10.8,0.001,0,True,-46,91.75510884958938,False,-0.48936170212765956,0.7024922954831931,False,-0.000533958953426507,0.0009951631998191734,False,-2334,428.43202494678195,True,0,0.056772698529027193
Qm9zbmlhSA==,89,84.8645980371085,57.9656419091619,0.000934167436392644,0.000890030406575044,bosniah,BosniaH,Fb2,place_of_birth,social,False,106,99.1614844584328,56.8684317591517,0.00117026209454835,0.0010941131559108,False,1696,300,10.8,0.001,0,True,-17,130.51819796488155,False,-0.16037735849056603,1.1215680792199925,False,-0.0002360946581557061,0.001410403390014796,False,-1607,311.7723528473941,True,0,0.0890030406575044
QnJhemls,1718,458.834392782407,16.2355461316936,0.0180325804013771,0.00476543823099081,brazil,Brazil,Fb2,place_of_birth,social,True,1484,365.613183569739,14.9769039386583,0.0163836693236768,0.00400173737752892,True,13483,1062,4.8,0.004,0,True,234,586.6873102428583,False,0.15768194070080863,0.420649949667879,False,0.0016489110777003005,0.006222805120851918,False,-11765,1156.8807198670052,True,1.4032580401377102,0.476543823099081,False
QnJiZGlhbg==,245,188.504641852661,46.7724438565005,0.000610602552567895,0.000469724101822083,brbdian,Brbdian,Pop_5,ancestry,social,False,159,86.7986175005109,33.1856081896775,0.000399856152377887,0.000218222646257896,False,22110,1521,4.2,0.003,0,True,86,207.5283113216122,False,0.5408805031446541,1.453661338527656,False,0.00021074640019000802,0.0005179400111715269,False,-21865,1532.6366170752935,True,-0.2389397447432105,0.0469724101822083,True
QnJpdGlzaA==,3662,688.896218598999,11.4358791863698,0.00912663896940258,0.0017121555610399,british,British,Pop_5,ancestry,social,True,3156,538.577756688856,10.3739826237062,0.00793676740191579,0.00135060255893687,True,26628,1327,3,0.003,0,True,506,874.4392488903961,False,0.1603295310519645,0.29471302093723084,False,0.0011898715674867905,0.002180734724217202,False,-22966,1495.1611953230995,True,0.612663896940258,0.17121555610399,True
QnJ0V0luZA==,267,148.94965592441,33.9126978642372,0.000665432169533176,0.000371103935612622,brtwind,BrtWInd,Pop_5,ancestry,social,False,419,209.296440485738,30.3656035118698,0.00105370898016563,0.000526169402493749,False,45617,2249,3,0.005,0,True,-152,256.8871347498746,False,-0.3627684964200477,0.4771696223054298,False,-0.0003882768106324541,0.0006438729464326063,False,-45350,2253.9270174519847,True,-0.4334567830466824,0.0371103935612622,True
QnJ6bGlhbg==,1402,550.233586761114,23.8579531091543,0.00349414195387832,0.00137045188065773,brzlian,Brzlian,Pop_5,ancestry,social,False,1472,465.300977862716,19.2158788928372,0.00370181293270597,0.00116918592449382,True,13148,1531,7.1,0.002,0,True,-70,720.5983624738542,False,-0.04755434782608696,0.47996782091310275,False,-0.00020767097882764965,0.0018014255697177105,False,-11746,1626.8736890121495,True,0.14941419538783202,0.137045188065773,False
