id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
SHNwMg==,0,0,,0,0,hsp2,Hsp2,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,2457137,0,0,1,0,True,0,0,0,,,,-2457137,0,True,-100,0,True
SHNwQWxsT3Ro,0,0,,0,0,hspalloth,HspAllOth,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,73407,3230,2.7,0.03,0.001,True,0,0,0,,,,-73407,3230,True,-3,0.1,True
SHNwQXJn,0,0,,0,0,hsparg,HspArg,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,18356,2145,7.1,0.007,0.001,True,0,0,0,,,,-18356,2145,True,-0.7000000000000001,0.1,True
SHNwQm9s,0,0,,0,0,hspbol,HspBol,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3802,607,9.7,0.002,0,True,0,0,0,,,,-3802,607,True,-0.2,0,True
SHNwQ0Ft,0,0,,0,0,hspcam,HspCAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,179031,5054,1.7,0.073,0.002,True,0,0,0,,,,-179031,5054,True,-7.3,0.2,True
SHNwQ2hs,0,0,,0,0,hspchl,HspChl,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,7524,974,7.9,0.003,0,True,0,0,0,,,,-7524,974,True,-0.3,0,True
SHNwQ29s,0,0,,0,0,hspcol,HspCol,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,102532,3800,2.3,0.042,0.002,True,0,0,0,,,,-102532,3800,True,-4.2,0.2,True
SHNwQ1I=,0,0,,0,0,hspcr,HspCR,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,7377,1032,8.5,0.003,0,True,0,0,0,,,,-7377,1032,True,-0.3,0,True
SHNwQ3Vi,0,0,,0,0,hspcub,HspCub,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,39929,2284,3.5,0.016,0.001,True,0,0,0,,,,-39929,2284,True,-1.6,0.1,True
SHNwRG9t,0,0,,0,0,hspdom,HspDom,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,701188,8731,0.8,0.285,0.004,True,0,0,0,,,,-701188,8731,True,-28.499999999999996,0.4,True
SHNwRWM=,0,0,,0,0,hspec,HspEc,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,196728,6097,1.9,0.08,0.002,True,0,0,0,,,,-196728,6097,True,-8,0.2,True
